,sample,age1,path,sample1,age_lin
132,M 52A,,M,52,17.142857142857142
133,M 53A,,M,53,17.285714285714285
134,M 54A,,M,54,17.428571428571427
135,M 55A,,M,55,17.571428571428573
136,M 56A,,M,56,17.714285714285715
137,M 57A,,M,57,17.857142857142858
138,M 58A,18.0,M,58,18.0
139,M 59A,,M,59,18.25
140,M 60A,,M,60,18.5
141,M 61A,,M,61,18.75
142,M 62A,19.0,M,62,19.0
143,M 63A,,M,63,19.142857142857142
144,M 64A,,M,64,19.285714285714285
145,M 65A,,M,65,19.428571428571427
146,M 66A,,M,66,19.571428571428573
147,M 67A,,M,67,19.714285714285715
148,M 68A,,M,68,19.857142857142858
149,M 69A,20.0,M,69,20.0
150,M 70A,,M,70,20.142857142857142
151,M 71A,,M,71,20.285714285714285
152,M 72A,,M,72,20.428571428571427
153,M 73A,,M,73,20.571428571428573
154,M 74A,,M,74,20.714285714285715
155,M 75A,,M,75,20.857142857142858
156,M 76A,21.0,M,76,21.0
157,M 77A,21.0,M,77,21.0
158,M 78A,,M,78,21.125
159,M 79A,,M,79,21.25
160,M 80A,,M,80,21.375
161,M 81A,,M,81,21.5
162,M 82A,,M,82,21.625
163,M 83A,,M,83,21.75
164,M 84A,,M,84,21.875
165,M 85A,22.0,M,85,22.0
166,M 86A,22.0,M,86,22.0
167,M 87A,,M,87,22.2
168,M 88A,,M,88,22.4
169,M 89A,,M,89,22.6
170,M 90A,,M,90,22.8
171,M 91A,23.0,M,91,23.0
172,M 92A,23.0,M,92,23.0
173,M 93A,,M,93,23.11111111111111
174,M 94A,,M,94,23.22222222222222
175,M 95A,,M,95,23.333333333333332
176,M 96A,,M,96,23.444444444444443
177,M 97A,,M,97,23.555555555555557
178,M 98A,,M,98,23.666666666666668
179,M 99A,,M,99,23.77777777777778
180,M 100A,,M,100,23.88888888888889
181,M 101A,24.0,M,101,24.0
182,M 102A,,M,102,24.142857142857142
183,M 103A,,M,103,24.285714285714285
184,M 104A,,M,104,24.428571428571427
185,M 105A,,M,105,24.571428571428573
186,M 106A,,M,106,24.714285714285715
187,M 107A,,M,107,24.857142857142858
188,M 108A,25.0,M,108,25.0
189,M 109A,,M,109,
190,M 110A,,M,110,
191,L 1A,,L,1,
192,L 2A,,L,2,
193,L 3A,,L,3,
194,L 4A,,L,4,
195,L 5A,,L,5,
196,L 6A,26.0,L,6,26.0
197,L 7A,,L,7,26.11111111111111
198,L 8A,,L,8,26.22222222222222
199,L 9A,,L,9,26.333333333333332
200,L 10A,,L,10,26.444444444444443
201,L 11A,,L,11,26.555555555555557
202,L 12A,,L,12,26.666666666666668
203,L 13A,,L,13,26.77777777777778
204,L 14A,,L,14,26.88888888888889
205,L 15A,27.0,L,15,27.0
206,L 16A,,L,16,27.333333333333332
207,L 17A,,L,17,27.666666666666668
208,L 18A,28.0,L,18,28.0
209,L 19A,28.0,L,19,28.0
210,L 20A,,L,20,28.166666666666668
211,L 21A,,L,21,28.333333333333332
212,L 22A,,L,22,28.5
213,L 23A,,L,23,28.666666666666668
214,L 24A,,L,24,28.833333333333332
215,L 25A,29.0,L,25,29.0
216,L 26A,,L,26,29.2
217,L 27A,,L,27,29.4
218,L 28A,,L,28,29.6
219,L 29A,,L,29,29.8
220,L 30A,30.0,L,30,30.0
221,L 31A,30.0,L,31,30.0
222,L 32A,,L,32,30.166666666666668
223,L 33A,,L,33,30.333333333333332
224,L 34A,,L,34,30.5
225,L 35A,,L,35,30.666666666666668
226,L 36A,,L,36,30.833333333333332
227,L 37A,31.0,L,37,31.0
228,L 38A,,L,38,31.142857142857142
229,L 39A,,L,39,31.285714285714285
230,L 40A,,L,40,31.428571428571427
231,L 41A,,L,41,31.571428571428573
232,L 42A,,L,42,31.714285714285715
233,L 43A,,L,43,31.857142857142858
234,L 44A,32.0,L,44,32.0
235,L 45A,,L,45,
236,K 1A,,K,1,
237,K 2A,,K,2,
238,K 3A,33.0,K,3,33.0
239,K 4A,,K,4,33.125
240,K 5A,,K,5,33.25
241,K 6A,,K,6,33.375
242,K 7A,,K,7,33.5
243,K 8A,,K,8,33.625
244,K 9A,,K,9,33.75
245,K 10A,,K,10,33.875
246,K 11A,34.0,K,11,34.0
247,K 12A,,K,12,34.125
248,K 13A,,K,13,34.25
249,K 14A,,K,14,34.375
250,K 15A,,K,15,34.5
251,K 16A,,K,16,34.625
252,K 17A,,K,17,34.75
253,K 18A,,K,18,34.875
254,K 19A,35.0,K,19,35.0
255,K 20A,,K,20,35.25
256,K 21A,,K,21,35.5
257,K 22A,,K,22,35.75
258,K 23A,36.0,K,23,36.0
259,K 24A,,K,24,36.25
260,K 25A,,K,25,36.5
261,K 26A,,K,26,36.75
262,K 27A,37.0,K,27,37.0
263,K 28A,,K,28,37.2
264,K 29A,,K,29,37.4
265,K 30A,,K,30,37.6
266,K 31A,,K,31,37.8
267,K 32A,38.0,K,32,38.0
268,K 33A,,K,33,38.25
269,K 34A,,K,34,38.5
270,K 35A,,K,35,38.75
271,K 36A,39.0,K,36,39.0
272,K 37A,,K,37,39.142857142857146
273,K 38A,,K,38,39.285714285714285
274,K 39A,,K,39,39.42857142857143
275,K 40A,,K,40,39.57142857142857
276,K 41A,,K,41,39.714285714285715
277,K 42A,,K,42,39.857142857142854
278,K 43A,40.0,K,43,40.0
279,K 44A,,K,44,40.166666666666664
280,K 45A,,K,45,40.333333333333336
281,K 46A,,K,46,40.5
282,K 47A,,K,47,40.666666666666664
283,K 48A,,K,48,40.833333333333336
284,K 49A,41.0,K,49,41.0
285,K 50A,,K,50,41.166666666666664
286,K 51A,,K,51,41.333333333333336
287,K 52A,,K,52,41.5
288,K 53A,,K,53,41.666666666666664
289,K 54A,,K,54,41.833333333333336
290,K 55A,42.0,K,55,42.0
291,K 56A,42.0,K,56,42.0
292,K 57A,,K,57,42.166666666666664
293,K 58A,,K,58,42.333333333333336
294,K 59A,,K,59,42.5
295,K 60A,,K,60,42.666666666666664
296,K 61A,,K,61,42.833333333333336
297,K 62A,43.0,K,62,43.0
298,K 63A,43.0,K,63,43.0
299,K 64A,,K,64,43.166666666666664
300,K 65A,,K,65,43.333333333333336
301,K 66A,,K,66,43.5
302,K 67A,,K,67,43.666666666666664
303,K 68A,,K,68,43.833333333333336
304,K 69A,44.0,K,69,44.0
305,K 70A,,K,70,
306,K 71A,,K,71,
307,K 72A,,K,72,
308,K 73A,,K,73,
309,K 74A,,K,74,
310,J 1A,,J,1,
311,J 2A,,J,2,
312,J 3A,,J,3,
313,J 4A,45.0,J,4,45.0
314,J 5A,,J,5,45.09090909090909
315,J 6A,,J,6,45.18181818181818
316,J 7A,,J,7,45.27272727272727
317,J 8A,,J,8,45.36363636363637
318,J 9A,,J,9,45.45454545454545
319,J 10A,,J,10,45.54545454545455
320,J 11A,,J,11,45.63636363636363
321,J 12A,,J,12,45.72727272727273
322,J 13A,,J,13,45.81818181818182
323,J 14A,,J,14,45.90909090909091
324,J 15A,46.0,J,15,46.0
325,J 16A,46.0,J,16,46.0
326,J 17A,,J,17,46.09090909090909
327,J 18A,,J,18,46.18181818181818
328,J 19A,,J,19,46.27272727272727
329,J 20A,,J,20,46.36363636363637
330,J 21A,,J,21,46.45454545454545
331,J 23A,,J,23,46.63636363636363
332,J 24A,,J,24,46.72727272727273
333,J 25A,,J,25,46.81818181818182
334,J 26A,,J,26,46.90909090909091
335,J 27A,47.0,J,27,47.0
336,J 28A,,J,28,
337,J 29A,,J,29,
338,J 30A,,J,30,
339,I 1A,46.0,I,1,46.0
340,I 2A,,I,2,46.166666666666664
341,I 3A,,I,3,46.333333333333336
342,I 4A,,I,4,46.5
343,I 5A,,I,5,46.666666666666664
344,I 6A,,I,6,46.833333333333336
345,I 7A,47.0,I,7,47.0
346,I 8A,47.0,I,8,47.0
347,I 9A,,I,9,47.111111111111114
348,I 10A,,I,10,47.22222222222222
349,I 11A,,I,11,47.333333333333336
350,I 12A,,I,12,47.44444444444444
351,I 13A,,I,13,47.55555555555556
352,I 14A,,I,14,47.666666666666664
353,I 15A,,I,15,47.77777777777778
354,I 16A,,I,16,47.888888888888886
355,I 17A,48.0,I,17,48.0
356,I 18A,,I,18,48.09090909090909
357,I 19A,,I,19,48.18181818181818
358,I 20A,,I,20,48.27272727272727
359,I 21A,,I,21,48.36363636363637
360,I 22A,,I,22,48.45454545454545
361,I 23A,,I,23,48.54545454545455
362,I 24A,,I,24,48.63636363636363
363,I 25A,,I,25,48.72727272727273
364,I 26A,,I,26,48.81818181818182
365,I 27A,,I,27,48.90909090909091
366,I 28A,49.0,I,28,49.0
367,I 29A,,I,29,49.2
368,I 30A,,I,30,49.4
369,I 31A,,I,31,49.6
370,I 32A,,I,32,49.8
371,I 33A,50.0,I,33,50.0
372,I 34A,50.0,I,34,50.0
373,I 35A,,I,35,50.142857142857146
374,I 36A,,I,36,50.285714285714285
375,I 37A,,I,37,50.42857142857143
376,I 38A,,I,38,50.57142857142857
377,I 39A,,I,39,50.714285714285715
378,I 40A,,I,40,50.857142857142854
379,I 41A,51.0,I,41,51.0
380,I 42A,,I,42,51.125
381,I 43A,,I,43,51.25
382,I 44A,,I,44,51.375
383,I 45A,,I,45,51.5
384,I 46A,,I,46,51.625
385,I 47A,,I,47,51.75
386,I 48A,,I,48,51.875
387,I 49A,52.0,I,49,52.0
388,I 50A,,I,50,52.125
389,I 51A,,I,51,52.25
390,I 52A,,I,52,52.375
391,I 53A,,I,53,52.5
392,I 54A,,I,54,52.625
393,I 55A,,I,55,52.75
394,I 56A,,I,56,52.875
395,I 57A,53.0,I,57,53.0
396,I 58A,,I,58,53.142857142857146
397,I 59A,,I,59,53.285714285714285
398,I 60A,,I,60,53.42857142857143
399,I 61A,,I,61,53.57142857142857
400,I 62A,,I,62,53.714285714285715
401,I 63A,,I,63,53.857142857142854
402,I 64A,54.0,I,64,54.0
403,I 65A,,I,65,54.1
404,I 66A,,I,66,54.2
405,I 67A,,I,67,54.3
