name,path,path_num,d18o_pdb,age_orig,age_edited,delta_days
SPL A4 Path L 20A,L,20,-5.15635,1962.868133,1962.868133,0.00
SPL A4 Path L 21A,L,21,-4.86046,1963.065121,1963.065121,0.00
SPL A4 Path L 22A,L,22,-5.06246,1963.182053,1963.182053,0.00
SPL A4 Path L 23A,L,23,-4.99856,1963.370483,1963.370483,0.00
SPL A4 Path L 24A,L,24,-5.36795,1963.446931,1963.446931,0.00
SPL A4 Path L 25A,L,25,-5.47729,1963.555227,1963.555227,0.00
SPL A4 Path L 26A,L,26,-5.00444,1963.612698,1963.612698,0.00
SPL A4 Path L 27A,L,27,-5.16001,1963.768878,1963.768878,0.00
SPL A4 Path L 28A,L,28,-5.10153,1963.932304,1963.932304,0.00
SPL A4 Path L 29A,L,29,-5.09366,1964.075046,1964.075046,0.00
SPL A4 Path L 30A,L,30,-5.47933,1964.181631,1964.181631,0.00
SPL A4 Path L 31A,L,31,-5.33321,1964.287834,1964.287834,0.00
SPL A4 Path L 32A,L,32,-5.19280,1964.393674,1964.393674,0.00
SPL A4 Path L 33A,L,33,-5.29215,1964.499171,1964.499171,0.00
SPL A4 Path L 34A,L,34,-5.00127,1964.604346,1964.604346,0.00
SPL A4 Path L 35A,L,35,-5.10265,1964.709258,1964.709258,0.00
SPL A4 Path L 36A,L,36,-5.13375,1964.850039,1964.850039,0.00
SPL A4 Path L 37A,L,37,-5.17305,1964.990465,1964.990465,0.00
SPL A4 Path L 38A,L,38,-5.50877,1965.177194,1965.177194,0.00
SPL A4 Path L 39A,L,39,-5.38377,1965.363403,1965.363403,0.00
SPL A4 Path L 40A,L,40,-4.29048,1965.549155,1965.549155,0.00
SPL A4 Path L 41A,L,41,-5.08061,1965.616507,1965.616507,0.00
SPL A4 Path L 42A,L,42,-4.99997,1965.714128,1965.714128,0.00
SPL A4 Path L 43A,L,43,-5.18453,1965.868956,1965.868956,0.00
SPL A4 Path L 44A,L,44,-5.07239,1965.983864,1965.983864,0.00
SPL A4 Path L 45A,L,45,-5.11182,1966.173418,1966.173418,0.00
SPL A4 Path K 1A,K,1,-5.01948,1966.716699,1966.716699,0.00
SPL A4 Path K 2A,K,2,-4.97029,1966.862171,1966.862171,0.00
SPL A4 Path K 3A,K,3,-5.20921,1966.912999,1966.912999,0.00
SPL A4 Path K 4A,K,4,-5.17733,1967.046005,1967.046005,0.00
SPL A4 Path K 5A,K,5,-5.23074,1967.117856,1967.117856,0.00
SPL A4 Path K 6A,K,6,-5.22544,1967.234542,1967.234542,0.00
SPL A4 Path K 7A,K,7,-5.13971,1967.315985,1967.315985,0.00
SPL A4 Path K 8A,K,8,-5.03237,1967.380678,1967.380678,0.00
SPL A4 Path K 9A,K,9,-4.99188,1967.464046,1967.464046,0.00
SPL A4 Path K 10A,K,10,-5.09021,1967.514046,1967.514046,0.00
SPL A4 Path K 11A,K,11,-5.19529,1967.564046,1967.564046,0.00
SPL A4 Path K 12A,K,12,-5.20835,1967.617864,1967.617864,0.00
SPL A4 Path K 13A,K,13,-5.21345,1967.690753,1967.690753,0.00
SPL A4 Path K 14A,K,14,-5.08290,1967.740753,1967.740753,0.00
