decimal_year,d13c,d18o,d18o_pdb,calendar_year
2005.7142857142858,-1.9979176,-5.569281999999999,-35.392259232819995,2005.8843122276353
2005.857142857143,-2.346952,-5.5442395,-35.367967757395,2006.0041479254307
2006.0,-2.3887167999999996,-5.574341500000001,-35.397166998415,2006.1239836232262
2006.1666666666663,-2.2792768,-5.5102327,-35.334980821327,2006.279576580089
2006.333333333333,-3.0649087999999995,-5.222744800000001,-35.056114683448,2006.4414833852204
2006.4999999999998,-2.9704407999999995,-5.1766666,-35.011418368666,2006.6033901903518
2006.6666666666665,-2.7526672,-5.1636445,-34.998786801445,2006.7652969954831
2006.8333333333333,-2.65516,-5.191692100000001,-35.025993253921,2006.9272038006145
2007.0,-2.9982839999999995,-5.4321001,-35.259191418000995,2007.0891106057459
2007.1,-2.1848088,-5.5262599,-35.350527365599,2007.287206665819
2007.2,-1.625956,-5.2017091,-35.035709844091,2007.412648248027
2007.4,-0.9011504,-5.0694507,-34.907417873507,2007.6635314124424
2007.45,-1.1010248,-5.523220800000001,-35.347579408208,2007.726252203546
2007.5,-2.3102152,-5.874817500000001,-35.688631723175,2007.7889729946498
2007.6666666666665,-1.3197927999999999,-5.5823211,-35.404907290211,2007.9980422983292
2007.8333333333333,-1.6539112,-5.3819811,-35.210575486810995,2008.2098853139016
2008.0,-2.5379328,-5.312863800000001,-35.143531014638,2008.4328231770462
2008.1999999999998,-2.7626672,-5.4430848,-35.269846686848,2008.700348612819
2008.3999999999999,-2.7089696,-5.275800899999999,-35.107579631008996,2008.9678740485922
2008.6,-1.765284,-5.4460899000000005,-35.272761663899,2009.232085512206
2008.8,-1.4948072000000001,-5.4170406,-35.244583552406,2009.467564316678
2009.0,-2.4553976,-5.3529317999999995,-35.182397375318,2009.7030431211497
2009.1111111111113,-2.9317151999999997,-5.4130338,-35.240696916337996,2009.83386467919
2009.2222222222224,-2.6393616,-5.513203799999999,-35.337862818038,2009.9646862372297
2009.3333333333335,-2.5588151999999997,-5.616378900000001,-35.437943696789,2010.0955077952697
2009.4444444444446,-2.1063631999999997,-5.703526800000001,-35.522478031268,2010.2091022176774
2009.5555555555557,-1.9621752,-5.6233908,-35.444745309908,2010.3038074085068
2009.6666666666667,-2.2187303999999997,-5.2207074,-35.054138385074,2010.3985125993363
2009.7777777777778,-3.2141248,-5.398008300000001,-35.226122031083,2010.4932177901658
2009.888888888889,-2.9466312,-5.4330678,-35.260130096678,2010.5879229809952
2010.0,-2.3847952,-5.4400797,-35.266931709797,2010.6826281718247
2010.25,-2.5687592,-5.609367,-35.43114208367,2010.895714851191
2010.5,-1.914444,-5.478144299999999,-35.303854752443,2011.1088015305575
2010.75,-1.6499336,-5.4841545,-35.309684706545,2011.3191486995208
2011.0,-1.5186728,-5.3208774000000005,-35.151304286774,2011.5293223819301
2011.1428571428573,-1.9501304,-5.208721000000001,-35.04251145721,2011.6494216290214
2011.2857142857144,-2.0457047999999998,-5.1816411,-35.016243683411,2011.7695208761124
2011.4285714285716,-2.2237024,-5.308857,-35.13964437857,2011.8896201232033
2011.5714285714287,-1.8537856,-5.504188500000001,-35.329117886885,2012.0097193702943
2011.7142857142858,-2.4126384,-5.6604537,-35.480696693537,2012.1298186173854
2011.857142857143,-1.6936872,-5.5442565,-35.367984247565,2012.2499178644764
2012.0,-1.4828744,-5.4450882,-35.271790004882,2012.3700171115674
