,Identifier 1,d13c,d18o,ref_H,ref_age,age_lin,age_absolute,path,idx,d13c_ma,d18o_ma,depth
53,B- 8A,-2.6700101765848423,25.152030642876934,,,70.45416666666664,1999.1731666666667,B,8,-2.8049795715413786,25.229360308172,-154.0
54,B- 7A,-2.707925049791434,25.306092898475335,,,70.57499999999997,1999.294,B,7,-2.7332060594734737,25.267426739731206,-154.0
55,B- 6A,-2.8216829520441444,25.34415667784135,,,70.69583333333331,1999.4148333333333,B,6,-2.8263155050739566,25.278434004514924,-154.0
56,B- 5A,-2.949338513386291,25.185052437228098,,,70.81666666666665,1999.5356666666667,B,5,-2.8533163473849537,25.323000630056857,-154.0
57,B- 4A,-2.7889275767244253,25.43979277510112,,,70.93749999999999,1999.6565,B,4,-2.8516258975500626,25.309892994029315,-154.0
58,B- 3A,-2.8166116025394707,25.304833769758734,,,71.05833333333332,1999.7773333333334,B,3,-2.7464524670451076,25.373097907208763,-154.0
59,B- 2A,-2.6338182218714254,25.374667176766433,,,71.17916666666666,1999.8981666666666,B,2,-2.5375167180744413,25.345186889133302,-154.0
60,B- 1A,-2.1621203298124287,25.356059720874743,,71.3,71.3,2000.019,B,1,,,-154.0
61,C- 1A,-1.9497485381201023,25.532837016566692,,,67.19,1995.909,C,1,,,-130.0
62,C- 2A,-1.6949636894528228,25.644607565331242,,,67.28,1995.999,C,2,-1.8387821354717218,25.608137754071976,-130.0
63,C- 3A,-1.8716341788422395,25.646968680317986,H58,67.3333333333333,67.3333333333333,1996.0523333333333,C,3,-1.7017168349557783,25.591722998899503,-130.0
64,C- 4A,-1.5385526365722724,25.483592751049287,,,67.4583333333333,1996.1773333333333,C,4,-1.6129316242994232,25.411811639668226,-130.0
65,C- 5A,-1.4286080574837579,25.104873487637402,,,67.5833333333333,1996.3023333333333,C,5,-1.5095306873671293,25.392806520560217,-130.0
66,C- 6A,-1.5614313680453575,25.589953322993967,,,67.7083333333333,1996.4273333333333,C,6,-1.5147481458340788,25.31858688330371,-130.0
67,C- 7A,-1.5542050119731208,25.26093383927975,,,67.8333333333333,1996.5523333333333,C,7,-1.6083801758313154,25.459445360871452,-130.0
68,C- 8A,-1.7095041474754678,25.52744892034064,,,67.9583333333333,1996.6773333333333,C,8,-1.683427320245458,25.46682260198945,-130.0
69,C- 9A,-1.7865728012877855,25.612085046347957,,,68.0833333333333,1996.8023333333333,C,9,-1.7618690494663454,25.58159791987536,-130.0
70,C- 10A,-1.7895301996357826,25.605259792937478,,,68.2083333333333,1996.9273333333333,C,10,-1.84728375847365,25.558187839404145,-130.0
71,C- 11A,-1.9657482744973809,25.457218678927,,68.3333333333333,68.3333333333333,1997.0523333333333,C,11,-1.885001941378408,25.486360480404347,-130.0
72,C- 12A,-1.8997273500020606,25.396602969348567,,,68.4583333333333,1997.1773333333333,C,12,-1.845466318617827,25.433069962652578,-130.0
73,C- 13A,-1.6709233313540395,25.44538823968216,,,68.5833333333333,1997.3023333333333,C,13,-1.2198486052774915,25.154868489589443,-130.0
74,C- 14A,,24.622614259737606,,,68.7083333333333,1997.4273333333333,C,14,-1.2451711399584515,25.16115120373065,-130.0
75,C- 15A,-1.9756949540449407,25.41545111177218,,,68.8333333333333,1997.5523333333333,C,15,-1.4628975769073753,25.075383420041884,-130.0
76,C- 16A,-2.324102642200811,25.188084888615865,,,68.9583333333333,1997.6773333333333,C,16,-2.106017641246669,25.41085701588216,-130.0
77,C- 17A,-2.018255327494255,25.62903504725844,,,69.0833333333333,1997.8023333333333,C,17,-2.007126896119581,25.449788062421067,-130.0
78,C- 18A,-1.6790227186636781,25.532244251388892,,,69.2083333333333,1997.9273333333333,C,18,-1.8299166488282028,25.419129206439464,-130.0
79,C- 19A,-1.7924719003266754,25.09610832067105,,69.3333333333333,69.3333333333333,1998.0523333333333,C,19,-1.8668131868431743,25.265497600710173,-130.0
80,C- 20A,-2.1289449415391695,25.16814023007057,,,69.52666666666664,1998.2456666666667,C,20,-1.9181786713317617,25.13110981147592,-130.0
81,C- 21A,-1.83311917212944,25.129080883686136,,,69.71999999999998,1998.439,C,21,-2.118690681829977,25.206255229917556,-130.0
82,C- 22A,-2.3940079318213208,25.321544575995954,,,69.91333333333331,1998.6323333333335,C,22,-2.285082828352507,25.32621094415038,-130.0
83,C- 23A,-2.6281213811067605,25.528007372769054,,,70.10666666666665,1998.8256666666666,C,23,-2.2886663888005425,25.491561099724336,-130.0
84,C- 24A,-1.8438698534735458,25.625131350407997,,70.3,70.3,1999.019,C,24,,,-130.0
85,D- 1A,-1.4168044256015966,25.50644056656437,,66.3333333333333,66.3333333333333,1995.0523333333333,D,1,,,-118.5
86,D- 2A,-1.3708145165790788,25.439292505160797,,,66.49999999999997,1995.219,D,2,-1.4746761193717723,25.481792077635845,-118.5
87,D- 3A,-1.636409415934641,25.499643161182377,,,66.66666666666663,1995.3856666666666,D,3,-1.5097644751235721,25.49804985612393,-118.5
88,D- 4A,-1.5220694928569967,25.555213902028616,,,66.8333333333333,1995.5523333333333,D,4,-1.535297921915366,25.555928170806897,-118.5
89,D- 5A,-1.4474148569544596,25.612927449209696,,,66.99999999999997,1995.719,D,5,-1.3872215870330054,25.499874233513992,-118.5
90,D- 6A,-1.1921804112875596,25.331481349303658,,,67.16666666666663,1995.8856666666666,D,6,-1.2837461868554743,25.49790083601911,-118.5
91,D- 7A,-1.2116432923244038,25.549293709543967,H58,67.3333333333333,67.3333333333333,1996.0523333333333,D,7,-1.222004014349084,25.439204982785554,-118.5
92,D- 8A,-1.2621883394352889,25.43683988950903,,,67.44444444444441,1996.1634444444444,D,8,-1.316982822825041,25.50025764119191,-118.5
93,D- 9A,-1.4771168367154304,25.514639324522747,,,67.55555555555553,1996.2745555555555,D,9,-1.4864605652285843,25.50969431032137,-118.5
94,D- 10A,-1.7200765195350343,25.577603716932334,,,67.66666666666663,1996.3856666666666,D,10,-1.6951832554002653,25.52131887306989,-118.5
95,D- 11A,-1.8883564099503314,25.471713577754592,,,67.77777777777774,1996.4967777777779,D,11,-1.7560393823723388,25.502356189052914,-118.5
96,D- 12A,-1.6596852176316514,25.457751272471814,,,67.88888888888886,1996.607888888889,D,12,-1.7352650090432562,25.47847368666986,-118.5
97,D- 13A,-1.6577533995477856,25.505956209783186,,,67.99999999999997,1996.719,D,13,-1.6852119560229735,25.476186501568275,-118.5
98,D- 14A,-1.7381972508894834,25.46485202244983,,,68.11111111111107,1996.8301111111111,D,14,-1.6909529380627426,25.433869101612913,-118.5
99,D- 15A,-1.6769081637509595,25.33079907260572,,,68.22222222222219,1996.9412222222222,D,15,-1.79408661232024,25.35796366406048,-118.5
100,D- 16A,-1.9671544223202768,25.27823989712589,,68.3333333333333,68.3333333333333,1997.0523333333333,D,16,-1.836302106901299,25.31417446264715,-118.5
101,D- 17A,-1.864843734632661,25.333484418209842,,,68.49999999999997,1997.219,D,17,-2.0257372065404637,25.34125053715422,-118.5
102,D- 18A,-2.245213462668454,25.412027296126926,,,68.66666666666663,1997.3856666666666,D,18,-2.2072318408771676,25.42955912191829,-118.5
103,D- 19A,-2.5116383253303876,25.543165651418114,,,68.8333333333333,1997.5523333333333,D,19,-2.2534344061946414,25.52927843635501,-118.5
104,D- 20A,-2.003451430585082,25.632642361519984,,,68.99999999999997,1997.719,D,20,-2.093508755222906,25.575837687792443,-118.5
105,D- 21A,-1.7654365097532483,25.551705050439224,,,69.16666666666663,1997.8856666666666,D,21,-1.8956543446556022,25.484717612485678,-118.5
106,D- 22A,-1.918075093628477,25.26980542549782,,69.3333333333333,69.3333333333333,1998.0523333333333,D,22,-1.8511606772743174,25.36860061637015,-118.5
107,D- 23A,-1.8699704284412269,25.284291373173406,,,69.47619047619044,1998.1951904761904,D,23,-1.9534073668214322,25.235575722911026,-118.5
108,D- 24A,-2.0721765783945925,25.15263037006186,,,69.61904761904758,1998.3380476190475,D,24,,,-118.5
109,E- 1A,-1.6140257644163758,25.79314894928205,,,66.23,1994.949,E,1,,,-108.0
110,E- 2A,-1.492244749367392,25.585242530603626,,,66.28,1994.999,E,2,-1.5731197496074139,25.634372420289747,-108.0
111,E- 3A,-1.6130887350384735,25.524725780983566,,66.3333333333333,66.3333333333333,1995.0523333333333,E,3,-1.6762037817014193,25.51802435184261,-108.0
112,E- 4A,-1.9232778606983922,25.44410474394063,,,66.5333333333333,1995.2523333333334,E,4,-1.8359291198350658,25.48597458629531,-108.0
113,E- 5A,-1.9714207637683323,25.48909323396173,,,66.7333333333333,1995.4523333333334,E,5,-1.9807191434942968,25.507002334234272,-108.0
114,E- 6A,-2.0474588060161656,25.587809024800457,,,66.9333333333333,1995.6523333333334,E,6,-1.8888842939834578,25.47239469411801,-108.0
115,E- 7A,-1.6477733121658749,25.340281823591837,,,67.1333333333333,1995.8523333333333,E,7,-1.8355438563959698,25.41791599381745,-108.0
116,E- 8A,-1.8113994510058693,25.32565713306005,H58,67.3333333333333,67.3333333333333,1996.0523333333333,E,8,-1.7289102754443206,25.344383274596954,-108.0
